City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Mar Del Plata,AR,84.2,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
5,Port-Gentil,GA,84.2,scattered clouds,-0.7193,8.7815,Fengshui Residence
9,Porto Walter,BR,75.06,light rain,-8.2686,-72.7439,Secretaria de saúde
10,Atuona,PF,77.67,light rain,-9.8,-139.0333,Villa Enata
15,Souillac,MU,82.4,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
16,Mozarlandia,BR,89.28,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
18,Sinnamary,GF,79.38,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
19,Bredasdorp,ZA,78.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
20,Bathsheba,BB,82.4,scattered clouds,13.2167,-59.5167,Atlantis Hotel
24,Mahebourg,MU,82.4,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Bilma,NE,78.62,clear sky,18.6853,12.9164,Expeditions Ténére voyages
28,Rikitea,PF,78.19,few clouds,-23.1203,-134.9692,Pension Maro'i
32,Butaritari,KI,78.85,few clouds,3.0707,172.7902,Isles Sunset Lodge
37,Bambanglipuro,ID,78.94,overcast clouds,-7.95,110.2833,Puri Brata
41,Gamba,GA,80.47,light rain,-2.65,10.0,
42,Yeppoon,AU,75.2,clear sky,-23.1333,150.7333,Villa Mar Colina
43,Vaini,TO,75.2,moderate rain,-21.2,-175.2,Keleti Beach Resort
44,Itai,BR,81.75,overcast clouds,-23.4178,-49.0906,HOTEL TRIANGULO
45,Kariba,ZW,80.62,light rain,-16.5167,28.8,Caribbea Bay Hotel
47,Mount Isa,AU,80.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
50,Kruisfontein,ZA,79.0,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
56,Pitimbu,BR,86.0,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
58,Mendoza,AR,82.4,clear sky,-32.8908,-68.8272,Hotel Mendoza
69,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
74,Saint-Joseph,RE,84.2,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
76,Hermanus,ZA,75.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
77,Puerto Ayora,EC,75.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
80,Port Hedland,AU,86.0,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
85,Lumphat,KH,76.71,broken clouds,13.4878,106.9816,Lumphat Homestay
100,Mushie,CD,86.05,overcast clouds,-3.0167,16.9,
102,Kaduqli,SD,81.32,overcast clouds,11.0167,29.7167,فندق الله جابو
103,Rondonopolis,BR,89.71,broken clouds,-16.4708,-54.6356,Serras Hotel
104,Bengkulu,ID,78.48,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
105,Catuday,PH,77.23,overcast clouds,16.2923,119.8062,GResort
108,Carnarvon,AU,77.0,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
117,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
118,Arraial Do Cabo,BR,87.8,few clouds,-22.9661,-42.0278,Pousada Porto Praia
121,Touros,BR,86.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
123,Presidencia Roque Saenz Pena,AR,88.0,few clouds,-26.7852,-60.4388,Hotel Gualok
127,Richards Bay,ZA,87.91,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
129,Palu,ID,76.62,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
131,Saint-Pierre,RE,84.2,few clouds,-21.3393,55.4781,Lindsey Hôtel
135,Saldanha,ZA,77.0,clear sky,-33.0117,17.9442,Blue Bay Lodge
139,Buala,SB,78.84,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
141,Umm Lajj,SA,75.38,clear sky,25.0213,37.2685,Moon light Furnished Units
142,Iracoubo,GF,79.02,light rain,5.4802,-53.2011,Le Gite D Iracoubo
143,Yulara,AU,77.0,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
153,Phangnga,TH,75.2,few clouds,8.4509,98.5298,Rattanapong Hotel
154,Lorengau,PG,80.71,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
155,Martapura,ID,78.8,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
161,Bintulu,MY,78.8,scattered clouds,3.1667,113.0333,900 Boutique INN
162,Karratha,AU,86.61,few clouds,-20.7377,116.8463,ibis Styles Karratha
164,Bubaque,GW,77.74,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
168,Cidreira,BR,78.55,clear sky,-30.1811,-50.2056,Hotel Castelo
171,Camopi,GF,79.7,scattered clouds,3.1655,-52.3158,
172,Sao Filipe,CV,76.51,overcast clouds,14.8961,-24.4956,Tortuga B&B
173,Padang,ID,78.8,overcast clouds,-0.9492,100.3543,Mercure Padang
175,Goure,NE,82.0,broken clouds,13.9835,10.2704,
178,Nouadhibou,MR,82.4,clear sky,20.930999999999997,-17.0347,El Medina
184,Biak,ID,78.19,overcast clouds,-0.9131,122.8766,Penginapan Kim
185,Hithadhoo,MV,82.99,broken clouds,-0.6,73.0833,Scoop Guest House
187,Bambous Virieux,MU,82.4,scattered clouds,-20.3428,57.7575,Casa Tia Villa
198,Sola,VU,82.06,overcast clouds,-13.8833,167.55,Leumerus Bungalows
199,Elias Fausto,BR,84.2,few clouds,-23.0428,-47.3739,RIBEIRÃO DA MATA
205,Kieta,PG,78.3,broken clouds,-6.2167,155.6333,
212,Puerto Carreno,CO,88.65,broken clouds,6.189,-67.4859,Casa Hotel Victoria
213,Senanga,ZM,75.96,moderate rain,-16.1167,23.2667,Christopher Nasilele House
217,Laguna De Perlas,NI,75.2,light intensity drizzle,12.3429,-83.6712,Hotel Best View
218,Acarau,BR,88.34,scattered clouds,-2.8856,-40.12,castelo pizzaria
219,Tessalit,ML,84.13,clear sky,20.1986,1.0114,
221,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
222,Sambava,MG,80.74,light rain,-14.2667,50.1667,Melrose
225,Alice Springs,AU,89.6,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
228,Puerto Baquerizo Moreno,EC,80.6,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
229,Vila Velha,BR,84.0,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
230,Honiara,SB,76.32,overcast clouds,-9.4333,159.95,Heritage Park Hotel
234,Georgetown,MY,80.01,scattered clouds,5.4112,100.3354,Cititel Penang
236,Cuartero,PH,75.25,overcast clouds,11.3407,122.6694,Cantiller Residence
237,Kavieng,PG,81.84,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
238,Port Lincoln,AU,78.62,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
241,Kabinda,CD,80.31,light rain,-6.1333,24.4833,Village Mianda Mutole
244,Labuan,MY,77.0,few clouds,5.2767,115.2417,Tiara Labuan Hotel
248,Boa Vista,BR,80.6,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
253,Namibe,AO,78.8,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
264,Kribi,CM,82.87,overcast clouds,2.95,9.9167,Les Vagues bleues
266,Sao Lourenco Da Serra,BR,82.4,clear sky,-23.8525,-46.9425,Kohlerland
270,Vaitape,PF,79.95,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
274,Cururupu,BR,82.71,moderate rain,-1.8283,-44.8683,Pousada Través'cia
277,Sao Joao Do Piaui,BR,88.29,light rain,-8.3581,-42.2467,Nayra Palace Hotel
278,Dhidhdhoo,MV,82.53,broken clouds,6.8833,73.1,Dhidhoo beach
279,Aden,YE,77.02,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
281,Srandakan,ID,79.11,overcast clouds,-7.9386,110.2506,Puri Brata
288,Haapiti,PF,75.2,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
289,Monrovia,LR,89.6,broken clouds,6.3005,-10.7969,Sunset Inn
290,Malinyi,TZ,81.91,light rain,-8.9333,36.1333,
291,Kirakira,SB,79.7,overcast clouds,-10.4544,161.9205,SanBiz Lodge
300,Masunga,BW,82.4,broken clouds,-20.6246,27.4488,
301,Sao Joao Da Barra,BR,86.0,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
303,Chuy,UY,81.99,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
304,San Cristobal,VE,78.8,scattered clouds,7.7669,-72.225,Pirineos
306,Kotido,UG,82.69,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
308,Teahupoo,PF,77.0,few clouds,-17.8333,-149.2667,Vanira Lodge
310,Bosaso,SO,77.0,clear sky,11.2842,49.1816,Red Sea Hotel
315,Jacareacanga,BR,88.52,broken clouds,-6.2222,-57.7528,Casa do Ian😎
319,Limbang,MY,80.01,moderate rain,4.75,115.0,Purnama Hotel
320,Manokwari,ID,78.93,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
322,Ovalle,CL,80.28,few clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
325,Caravelas,BR,81.32,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
327,Saint-Philippe,RE,84.2,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
331,Puerto Rico,AR,82.53,scattered clouds,-26.796,-55.023999999999994,Hotel Cabañas del Prado
332,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
337,Cayenne,GF,78.8,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
341,Chimbote,PE,76.37,scattered clouds,-9.0853,-78.5783,Hotel Briliá
342,Tutoia,BR,89.6,scattered clouds,-2.7619,-42.2744,Pousada Guará's
343,Poli,TZ,86.0,light rain,-3.3333,36.8,Urafiki House
347,Djibo,BF,89.82,scattered clouds,14.1022,-1.6306,Centre Des Ressources DPENA
350,Kampong Thum,KH,79.07,clear sky,12.7111,104.8887,Sambor Village Hotel
357,Sao Felix Do Xingu,BR,88.81,light rain,-6.6447,-51.995,Rio Xingu Camping
358,Banjar,ID,77.0,few clouds,-8.19,114.9675,The Hamsa Resort
361,Alim,PH,79.09,overcast clouds,9.5649,122.4876,Calamai Tropica
362,Nisia Floresta,BR,86.0,light rain,-6.0911,-35.2086,Rancho Crepusculo
363,Port Elizabeth,ZA,75.2,broken clouds,-33.918,25.5701,39 On Nile Guest House
364,Kavaratti,IN,81.63,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
365,Cape Town,ZA,78.8,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
372,Vitorino Freire,BR,84.63,overcast clouds,-4.0667,-45.1667,
375,Sal Rei,CV,80.6,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
383,Nakapiripirit,UG,79.07,overcast clouds,1.9167,34.7833,
386,Aripuana,BR,84.74,light rain,-9.1667,-60.6333,
390,Gunjur,GM,89.6,broken clouds,13.2019,-16.7339,Kuba Lodge
392,Inhambane,MZ,84.2,light rain,-23.865,35.3833,Oceano
394,Waingapu,ID,79.5,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
395,Kalabo,ZM,76.05,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
396,Mitsamiouli,KM,83.21,overcast clouds,-11.3847,43.2844,Foyer ADM
404,Dingle,PH,75.99,light rain,10.9995,122.6711,SEGAYA PROPERTY
405,Nicoya,CR,80.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
407,Meulaboh,ID,78.46,scattered clouds,4.1363,96.1285,Kost Pria
410,Xaltianguis,MX,75.2,overcast clouds,17.0667,-99.8333,
421,Mani,CO,89.6,overcast clouds,4.8172,-72.2886,Hotel Belgrado
422,Bonthe,SL,89.1,clear sky,7.5264,-12.505,Bonthe Holiday Village
424,Vila Do Maio,CV,80.6,overcast clouds,15.1333,-23.2167,Residence 'I Delfini'
427,Alofi,NU,75.2,light rain,-19.0595,-169.9187,Taloa Heights
429,Labuhan,ID,79.74,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
431,San Policarpo,PH,80.24,broken clouds,12.1791,125.5072,JM Lodge
434,Isangel,VU,77.58,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
440,Tual,ID,83.71,light rain,-5.6667,132.75,Grand Vilia Hotel
441,Koumac,NC,76.6,overcast clouds,-20.5667,164.2833,Le Monitel
442,San Juan De Los Morros,VE,82.4,few clouds,9.9115,-67.3538,Hotel La Montaña
444,Paragominas,BR,87.64,broken clouds,-2.9667,-47.4833,.
448,Mackay,AU,77.0,clear sky,-21.15,149.2,International Lodge Motel
450,Puerto Leguizamo,CO,79.84,overcast clouds,-0.1934,-74.7819,la casona de juancho
451,Sao Luiz Gonzaga,BR,87.46,few clouds,-28.4083,-54.9608,Xerife Hotel
452,Eyl,SO,75.79,broken clouds,7.9803,49.8164,Amiin Hotel
457,Tombouctou,ML,82.2,clear sky,20.0,-3.0,
461,Takoradi,GH,85.05,scattered clouds,4.8845,-1.7554,Raybow International Hotel
464,Sao Sebastiao Do Passe,BR,86.0,broken clouds,-12.5125,-38.4953,Pousada San Sebastian
476,Kutum,SD,82.56,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
479,Nabire,ID,76.51,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
480,Anori,BR,87.84,scattered clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
485,Pemba,MZ,84.2,broken clouds,-12.974,40.5178,Guesthouse Samotina
487,Tchibanga,GA,77.29,moderate rain,-2.85,11.0333,
494,Faanui,PF,79.99,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
496,Axim,GH,83.79,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
505,Amalapuram,IN,78.8,haze,16.5833,82.0167,swayamprabha service apartments
508,Guajara,BR,87.04,scattered clouds,-2.9667,-57.6667,
509,Arlit,NE,84.69,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
511,Kilakarai,IN,78.89,clear sky,9.2333,78.7833,Geohomz Jamath Kilakarai
518,Alta Floresta,BR,83.75,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
519,Pedernales,DO,81.0,scattered clouds,18.0384,-71.744,Hotel Costa Marina
524,Karmala,IN,80.91,few clouds,18.4167,75.2,Hotel Ashutosh And Lodge
525,Luangwa,ZM,83.41,overcast clouds,-15.6167,30.4167,Gerasimos Safari Lodge
527,Jaque,PA,82.0,broken clouds,7.5175,-78.1703,Imbu Bua Lodge
529,Luanda,AO,86.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
531,Kalemie,CD,77.94,light rain,-5.9475,29.1947,Mahobilali
532,Melo,UY,85.69,scattered clouds,-32.3667,-54.1833,Hotel Juana
533,Kuching,MY,80.6,scattered clouds,1.55,110.3333,Hilton Kuching
534,Baracoa,CU,78.33,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
537,Port Blair,IN,77.85,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
540,Saint-Leu,RE,84.2,few clouds,-21.15,55.2833,La Caz Oceane
542,Salto,UY,84.0,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
550,Natal,BR,86.0,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
552,Mabaruma,GY,83.95,broken clouds,8.2,-59.7833,
556,Conde,BR,86.0,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
557,Manicore,BR,86.22,scattered clouds,-5.8092,-61.3003,Hotel Durval
559,Poum,NC,79.36,overcast clouds,-20.2333,164.0167,Gîte kajeon
562,Manakara,MG,83.19,few clouds,-22.1333,48.0167,La Residence Manakara
570,Daru,PG,77.36,light rain,-9.0763,143.2092,Daru Lodge
573,The Valley,AI,82.4,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
575,Tiarei,PF,75.2,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
580,Kalmunai,LK,76.69,clear sky,7.4167,81.8167,VS Villa
585,Mayahi,NE,86.43,broken clouds,13.9553,7.6712,
586,Tabou,CI,82.35,light rain,4.423,-7.3528,hotêl doufoulougou
589,Huarmey,PE,75.9,scattered clouds,-10.0681,-78.1522,Hotel Miramar
595,Itarema,BR,89.08,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
597,Edeia,BR,84.36,overcast clouds,-17.3383,-49.9314,Hotel Imperial Edeia
603,Soyo,AO,80.6,light rain,-6.1349,12.3689,Hotel Mpampa
604,Gudivada,IN,78.8,haze,16.45,80.9833,B.C Hostel
605,Rio Grande,BR,84.2,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
608,Kawalu,ID,76.05,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
610,Canguaretama,BR,86.0,broken clouds,-6.38,-35.1289,Pousada do Italiano
615,Broken Hill,AU,87.8,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
616,Taoudenni,ML,83.91,clear sky,22.6783,-3.9836,
623,Bukama,CD,79.52,moderate rain,-9.2,25.85,
628,Mogadishu,SO,80.6,clear sky,2.0371,45.3438,Hotel Juba
630,Riachao,BR,84.63,broken clouds,-7.3619,-46.6172,Pousada Nordestina
632,Pombas,CV,77.0,overcast clouds,17.1503,-25.0201,POUSADA O RECANTO
637,Luwuk,ID,79.45,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
638,Sibolga,ID,77.72,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
640,Hadgaon,IN,76.53,clear sky,19.5,77.6667,Ayan khan
641,Quatre Cocos,MU,82.4,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
646,Banyo,CM,89.78,clear sky,6.75,11.8167,Motel JOMBA
660,Ratnagiri,IN,77.14,scattered clouds,16.9833,73.3,Hotel Landmark
666,Puerto Rondon,CO,88.2,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
668,Talon,PH,77.0,overcast clouds,11.56,122.6811,Puente Acuña Resort
670,Breves,BR,89.13,few clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
672,Saquena,PE,76.89,light rain,-4.6667,-73.5167,
673,Lumeje,AO,76.46,light rain,-11.55,20.7833,
678,Kulhudhuffushi,MV,82.53,scattered clouds,6.6221,73.07,Haajy Guest House 1
686,Caluquembe,AO,78.21,overcast clouds,-13.7833,14.6833,
687,Villarrica,PY,82.54,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
690,Road Town,VG,81.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
692,Luganville,VU,79.56,light rain,-15.5333,167.1667,The Espiritu Hotel
693,Hambantota,LK,77.0,few clouds,6.1241,81.1185,Bungalow 63
695,Guanambi,BR,87.76,clear sky,-14.2233,-42.7814,Hotel Portal Guanambi
696,Edendale,ZA,84.99,clear sky,-29.6528,30.3147,Bed and Breakfast at the White House
698,Noumea,NC,79.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
701,Namatanai,PG,79.97,overcast clouds,-3.6667,152.4333,Namatanai Hotel
704,Vao,NC,76.73,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
706,Maine-Soroa,NE,85.98,scattered clouds,13.2114,12.0241,
