City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Poya,NC,-21.35,165.15,74.52,80,100,5.66,overcast clouds
1,Krasnogorsk,RU,55.8225,37.3181,34.0,93,90,8.95,mist
2,Mar Del Plata,AR,-38.0023,-57.5575,84.2,65,20,11.5,few clouds
3,Griffith,US,41.5284,-87.4237,16.0,67,1,3.02,clear sky
4,Narsaq,GL,60.9167,-46.05,28.4,29,1,19.57,clear sky
5,Port-Gentil,GA,-0.7193,8.7815,84.2,79,40,11.5,scattered clouds
6,Torbay,CA,47.6666,-52.7314,25.0,93,90,17.27,overcast clouds
7,Sobolevo,RU,54.4299,31.8996,33.33,97,98,10.07,overcast clouds
8,Tura,IN,25.5198,90.2201,59.56,64,2,2.8,clear sky
9,Porto Walter,BR,-8.2686,-72.7439,75.06,94,100,2.01,light rain
10,Atuona,PF,-9.8,-139.0333,77.67,80,5,16.15,light rain
11,Half Moon Bay,US,37.4636,-122.4286,46.99,81,40,4.61,scattered clouds
12,Ushuaia,AR,-54.8,-68.3,50.0,57,75,10.36,light rain
13,Sitka,US,57.0531,-135.33,35.6,93,75,6.91,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,57.2,47,0,31.07,clear sky
15,Souillac,MU,-20.5167,57.5167,82.4,69,40,5.75,scattered clouds
16,Mozarlandia,BR,-14.7447,-50.5706,89.28,52,58,7.0,broken clouds
17,Batagay-Alyta,RU,67.8006,130.4114,-40.58,76,22,1.54,few clouds
18,Sinnamary,GF,5.3833,-52.95,79.38,86,88,13.82,overcast clouds
19,Bredasdorp,ZA,-34.5322,20.0403,78.8,38,0,29.93,clear sky
20,Bathsheba,BB,13.2167,-59.5167,82.4,65,40,18.41,scattered clouds
21,Biscarrosse,FR,44.3945,-1.1672,48.2,76,90,12.66,moderate rain
22,Hilo,US,19.7297,-155.09,68.0,83,75,3.44,broken clouds
23,Mataura,NZ,-46.1927,168.8643,51.01,72,63,5.01,broken clouds
24,Mahebourg,MU,-20.4081,57.7,82.4,69,40,5.75,scattered clouds
25,Bilma,NE,18.6853,12.9164,78.62,14,0,9.35,clear sky
26,Pacific Grove,US,36.6177,-121.9166,44.01,93,75,3.44,broken clouds
27,Mao,ES,39.8885,4.2658,57.2,54,0,13.8,clear sky
28,Rikitea,PF,-23.1203,-134.9692,78.19,67,13,10.74,few clouds
29,Fortuna,US,40.5982,-124.1573,37.99,93,1,4.61,clear sky
30,Ribeira Grande,PT,38.5167,-28.7,62.6,100,75,10.36,light rain
31,Camacha,PT,33.0833,-16.3333,64.4,77,20,6.91,few clouds
32,Butaritari,KI,3.0707,172.7902,78.85,83,11,10.29,few clouds
33,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,1,16.11,clear sky
34,Barrow,US,71.2906,-156.7887,6.8,78,20,19.57,haze
35,Bulgan,MN,48.8125,103.5347,11.25,90,100,4.81,overcast clouds
36,Bluff,NZ,-46.6,168.3333,51.01,72,95,5.01,overcast clouds
37,Bambanglipuro,ID,-7.95,110.2833,78.94,79,100,3.09,overcast clouds
38,Payakumbuh,ID,-0.2202,100.6308,71.33,89,100,1.63,overcast clouds
39,Gairo,IT,39.8497,9.5047,52.0,54,53,20.74,broken clouds
40,Chokurdakh,RU,70.6333,147.9167,-36.18,83,95,5.12,overcast clouds
41,Gamba,GA,-2.65,10.0,80.47,79,100,8.99,light rain
42,Yeppoon,AU,-23.1333,150.7333,75.2,69,0,4.61,clear sky
43,Vaini,TO,-21.2,-175.2,75.2,100,75,3.44,moderate rain
44,Itai,BR,-23.4178,-49.0906,81.75,62,91,6.08,overcast clouds
45,Kariba,ZW,-16.5167,28.8,80.62,67,84,2.55,light rain
46,Albany,US,42.6001,-73.9662,19.99,56,13,13.0,few clouds
47,Mount Isa,AU,-20.7333,139.5,80.6,69,100,3.44,overcast clouds
48,Esperance,AU,-33.8667,121.9,62.6,94,40,6.91,scattered clouds
49,Pangnirtung,CA,66.1451,-65.7125,18.23,84,63,3.22,broken clouds
50,Kruisfontein,ZA,-34.0033,24.7314,79.0,64,35,11.01,scattered clouds
51,La Ronge,CA,55.1001,-105.2842,-14.8,76,97,5.75,overcast clouds
52,Kamina,CD,-8.7386,24.9906,73.17,88,81,4.32,moderate rain
53,Jamestown,US,42.097,-79.2353,19.99,73,90,16.11,light snow
54,Scalea,IT,39.813,15.7956,51.01,76,78,1.01,broken clouds
55,Angoram,PG,-4.0625,144.0661,74.35,88,34,1.3,scattered clouds
56,Pitimbu,BR,-7.4706,-34.8086,86.0,66,75,18.41,broken clouds
57,Busselton,AU,-33.65,115.3333,62.31,86,4,3.6,clear sky
58,Mendoza,AR,-32.8908,-68.8272,82.4,34,0,5.75,clear sky
59,Najran,SA,17.4924,44.1277,68.0,24,2,11.5,dust
60,Severnoye,RU,56.3491,78.3619,-28.16,85,85,6.08,overcast clouds
61,Dikson,RU,73.5069,80.5464,-19.3,89,97,3.98,overcast clouds
62,Oktyabrskiy,RU,54.4815,53.471,9.64,94,100,12.26,overcast clouds
63,Constitucion,CL,-35.3333,-72.4167,67.98,68,13,7.96,few clouds
64,Codrington,AU,-38.2667,141.9667,59.79,66,7,3.67,clear sky
65,Impfondo,CG,1.6381,18.0667,98.1,17,70,2.73,broken clouds
66,Chaman,PK,30.9236,66.4512,36.93,62,0,1.5,clear sky
67,Iqaluit,CA,63.7506,-68.5145,19.4,93,90,6.91,fog
68,New Norfolk,AU,-42.7826,147.0587,60.01,63,100,2.48,overcast clouds
69,Avarua,CK,-21.2078,-159.775,80.6,78,100,11.5,light rain
70,Abu Samrah,SY,35.3029,37.1841,45.12,58,0,9.42,clear sky
71,Rorvik,NO,64.8621,11.2373,21.63,95,95,19.19,overcast clouds
72,Atbasar,KZ,51.8,68.3333,-13.83,88,63,6.29,broken clouds
73,Provideniya,RU,64.3833,-173.3,5.74,86,100,3.47,overcast clouds
74,Saint-Joseph,RE,-21.3667,55.6167,84.2,70,20,5.75,few clouds
75,Kapaa,US,22.0752,-159.319,71.6,94,90,14.97,moderate rain
76,Hermanus,ZA,-34.4187,19.2345,75.0,64,2,7.0,clear sky
77,Puerto Ayora,EC,-0.7393,-90.3518,75.0,99,51,3.0,broken clouds
78,Caxias,PT,38.7031,-9.2767,61.0,94,75,18.41,mist
79,Upernavik,GL,72.7868,-56.1549,22.48,79,93,6.53,overcast clouds
80,Port Hedland,AU,-20.3167,118.5667,86.0,74,88,17.27,overcast clouds
81,Port Alfred,ZA,-33.5906,26.891,72.0,89,33,8.99,scattered clouds
82,Chicama,PE,-7.8447,-79.1469,69.8,88,50,5.75,scattered clouds
83,Haimen,CN,23.1935,116.6142,64.4,82,0,6.71,clear sky
84,Sakaiminato,JP,35.55,133.2333,48.2,81,75,23.02,light rain
85,Lumphat,KH,13.4878,106.9816,76.71,66,72,6.2,broken clouds
86,Thompson,CA,55.7435,-97.8558,-16.6,76,40,6.91,scattered clouds
87,Matucana,PE,-11.85,-76.4,65.79,45,59,3.6,broken clouds
88,Pampierstad,ZA,-27.7832,24.6877,93.69,21,72,1.61,broken clouds
89,Obera,AR,-27.4871,-55.1199,90.37,46,29,3.24,scattered clouds
90,Puerto Escondido,MX,15.85,-97.0667,71.6,94,40,6.91,scattered clouds
91,Spearfish,US,44.4908,-103.8594,21.99,86,90,3.44,overcast clouds
92,Key Largo,US,25.0865,-80.4473,69.01,89,0,6.53,clear sky
93,Yellowknife,CA,62.456,-114.3525,-31.0,75,20,5.75,few clouds
94,Orimattila,FI,60.8049,25.7296,37.0,95,100,1.01,overcast clouds
95,Naze,JP,28.3667,129.4833,63.05,90,74,10.78,broken clouds
96,Ulladulla,AU,-35.35,150.4667,73.4,88,90,4.61,overcast clouds
97,Khatanga,RU,71.9667,102.5,-29.11,83,100,12.75,overcast clouds
98,Yemelyanovo,RU,56.1681,92.6767,-0.4,85,0,4.43,clear sky
99,Kalispell,US,48.1958,-114.3129,19.99,79,90,3.58,overcast clouds
100,Mushie,CD,-3.0167,16.9,86.05,60,87,5.08,overcast clouds
101,Cherskiy,RU,68.75,161.3,-26.91,85,100,6.35,overcast clouds
102,Kaduqli,SD,11.0167,29.7167,81.32,20,99,4.88,overcast clouds
103,Rondonopolis,BR,-16.4708,-54.6356,89.71,54,81,3.36,broken clouds
104,Bengkulu,ID,-3.8004,102.2655,78.48,84,100,6.04,moderate rain
105,Catuday,PH,16.2923,119.8062,77.23,89,85,8.84,overcast clouds
106,Kodiak,US,57.79,-152.4072,37.4,60,1,9.22,clear sky
107,Ixtapa,MX,20.7,-105.2,60.8,100,1,3.44,clear sky
108,Carnarvon,AU,-24.8667,113.6333,77.0,61,75,16.11,broken clouds
109,Bachatskiy,RU,54.2927,86.1285,3.96,92,100,8.72,overcast clouds
110,Alamosa,US,37.4695,-105.87,17.6,93,1,4.61,clear sky
111,Hobart,AU,-42.8794,147.3294,60.8,82,98,2.3,overcast clouds
112,Russell,US,32.3502,-85.1999,46.0,56,1,6.91,clear sky
113,Hamilton,US,39.1834,-84.5333,21.99,79,1,4.92,clear sky
114,Belaya Gora,RU,68.5333,146.4167,-38.2,81,100,2.59,overcast clouds
115,Ponta Do Sol,PT,32.6667,-17.1,64.99,71,100,3.0,overcast clouds
116,Lebu,CL,-37.6167,-73.65,65.12,79,42,18.81,scattered clouds
117,Salalah,OM,17.0151,54.0924,80.6,14,0,12.66,clear sky
118,Arraial Do Cabo,BR,-22.9661,-42.0278,87.8,61,20,17.27,few clouds
119,Pevek,RU,69.7008,170.3133,-10.12,90,100,8.57,overcast clouds
120,Burgeo,CA,47.6167,-57.6152,27.0,91,13,20.71,few clouds
121,Touros,BR,-5.1989,-35.4608,86.0,62,75,11.5,broken clouds
122,Makarska,HR,43.2969,17.0178,57.2,54,20,14.97,light rain
123,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,88.0,64,15,1.99,few clouds
124,Rampur,IN,28.8167,79.0333,58.86,49,1,3.78,clear sky
125,Tarko-Sale,RU,64.9225,77.785,-44.18,76,4,9.91,clear sky
126,Ust-Tsilma,RU,65.441,52.1498,-11.69,88,99,8.75,overcast clouds
127,Richards Bay,ZA,-28.783,32.0377,87.91,60,0,15.43,clear sky
128,Santa Cruz,BO,-17.8,-63.1667,68.0,94,90,3.44,moderate rain
129,Palu,ID,-0.8917,119.8707,76.62,79,100,1.07,overcast clouds
130,Linqiong,CN,30.4159,103.4609,55.99,66,20,4.47,haze
131,Saint-Pierre,RE,-21.3393,55.4781,84.2,70,20,5.75,few clouds
132,Leningradskiy,RU,69.3833,178.4167,-9.06,87,100,5.93,overcast clouds
133,Velsk,RU,61.0701,42.0983,13.42,96,100,7.83,overcast clouds
134,Nikolskoye,RU,59.7035,30.7861,35.6,87,90,4.47,overcast clouds
135,Saldanha,ZA,-33.0117,17.9442,77.0,47,0,20.71,clear sky
136,Tilichiki,RU,60.4667,166.1,-7.94,92,91,6.08,overcast clouds
137,Geraldton,AU,-28.7667,114.6,69.8,78,40,9.22,scattered clouds
138,Los Lunas,US,34.8062,-106.7334,37.0,80,40,8.93,scattered clouds
139,Buala,SB,-8.145,159.5921,78.84,68,90,4.56,overcast clouds
140,Tuatapere,NZ,-46.1333,167.6833,51.01,72,92,5.01,overcast clouds
141,Umm Lajj,SA,25.0213,37.2685,75.38,47,1,9.86,clear sky
142,Iracoubo,GF,5.4802,-53.2011,79.02,87,98,13.65,light rain
143,Yulara,AU,-25.2406,130.9889,77.0,88,40,8.05,scattered clouds
144,Husavik,IS,66.0449,-17.3389,28.4,93,90,23.02,snow
145,Kasempa,ZM,-13.4584,25.8338,65.79,96,100,3.06,overcast clouds
146,Zabaykalsk,RU,49.6333,117.3167,7.81,85,12,1.79,few clouds
147,Sokolniki,PL,50.638,21.8065,50.0,57,0,18.41,clear sky
148,Qaanaaq,GL,77.484,-69.3632,18.46,79,100,4.59,overcast clouds
149,Pingxiang,CN,27.6167,113.85,51.01,78,0,4.9,clear sky
150,Aykhal,RU,66.0,111.5,-39.71,79,46,3.4,scattered clouds
151,Urumqi,CN,43.801,87.6005,17.6,93,90,2.24,light snow
152,Lerwick,GB,60.1545,-1.1494,35.6,87,40,9.17,light snow
153,Phangnga,TH,8.4509,98.5298,75.2,83,20,2.3,few clouds
154,Lorengau,PG,-2.0226,147.2712,80.71,74,80,5.3,broken clouds
155,Martapura,ID,-3.4167,114.85,78.8,89,90,5.75,overcast clouds
156,Ahipara,NZ,-35.1667,173.1667,60.33,83,1,6.64,clear sky
157,Saint-Augustin,CA,51.226,-58.6502,34.36,97,100,10.96,snow
158,Dunedin,NZ,-45.8742,170.5036,54.0,71,0,3.94,clear sky
159,Saint George,US,37.1041,-113.5841,42.8,61,75,8.05,broken clouds
160,Wanning,CN,18.8003,110.3967,67.05,84,1,0.98,clear sky
161,Bintulu,MY,3.1667,113.0333,78.8,94,40,3.44,scattered clouds
162,Karratha,AU,-20.7377,116.8463,86.61,52,14,20.31,few clouds
163,Batagay,RU,67.6333,134.6333,-45.33,77,89,1.3,overcast clouds
164,Bubaque,GW,11.2833,-15.8333,77.74,45,8,6.6,clear sky
165,Shieli,KZ,44.1667,66.75,21.54,96,85,8.97,overcast clouds
166,Macau,MO,22.2006,113.5461,66.2,72,0,4.61,clear sky
167,Tasiilaq,GL,65.6145,-37.6368,14.0,44,20,3.44,few clouds
168,Cidreira,BR,-30.1811,-50.2056,78.55,71,0,9.82,clear sky
169,Divnoye,RU,45.9089,43.3547,33.51,89,4,9.35,clear sky
170,Zaysan,KZ,47.4667,84.8667,3.49,83,100,3.44,light snow
171,Camopi,GF,3.1655,-52.3158,79.7,89,44,3.6,scattered clouds
172,Sao Filipe,CV,14.8961,-24.4956,76.51,60,100,5.73,overcast clouds
173,Padang,ID,-0.9492,100.3543,78.8,89,90,3.44,overcast clouds
174,Castro,BR,-24.7911,-50.0119,73.51,80,95,4.5,overcast clouds
175,Goure,NE,13.9835,10.2704,82.0,11,52,5.01,broken clouds
176,Ancud,CL,-41.8697,-73.8203,68.0,77,75,11.5,broken clouds
177,Aktau,KZ,43.65,51.2,37.4,81,20,11.18,few clouds
178,Nouadhibou,MR,20.931,-17.0347,82.4,20,0,10.36,clear sky
179,Oxapampa,PE,-10.5775,-75.4017,66.0,77,100,1.54,light rain
180,San Quintin,MX,30.4833,-115.95,56.03,74,91,2.86,overcast clouds
181,Mehamn,NO,71.0357,27.8492,20.23,92,100,30.0,overcast clouds
182,Porbandar,IN,21.6422,69.6093,69.66,77,0,10.83,clear sky
183,Honningsvag,NO,70.9821,25.9704,22.32,91,100,36.01,overcast clouds
184,Biak,ID,-0.9131,122.8766,78.19,80,100,4.63,overcast clouds
185,Hithadhoo,MV,-0.6,73.0833,82.99,69,71,6.26,broken clouds
186,Provost,CA,52.3501,-110.2683,-4.0,84,4,8.05,clear sky
187,Bambous Virieux,MU,-20.3428,57.7575,82.4,69,40,5.75,scattered clouds
188,High Prairie,CA,55.4334,-116.4858,3.2,85,100,6.91,overcast clouds
189,Hare Bay,CA,48.8499,-54.0148,23.0,93,45,8.05,scattered clouds
190,Tutin,RS,42.9903,20.3314,38.16,91,100,5.86,overcast clouds
191,Seoul,KR,37.5683,126.9778,44.6,57,0,9.22,clear sky
192,Kangaatsiaq,GL,68.3065,-53.4641,12.92,83,0,5.12,clear sky
193,Hongjiang,CN,27.11,109.9956,50.72,80,0,2.77,clear sky
194,Raudeberg,NO,61.9875,5.1352,37.0,93,100,25.99,moderate rain
195,Saskylakh,RU,71.9167,114.0833,-32.3,81,90,4.88,overcast clouds
196,Ambagarh Chauki,IN,20.7833,80.7167,66.92,38,0,3.22,clear sky
197,Merritt,CA,50.1123,-120.7942,15.8,92,1,0.89,clear sky
198,Sola,VU,-13.8833,167.55,82.06,80,100,13.53,overcast clouds
199,Elias Fausto,BR,-23.0428,-47.3739,84.2,51,20,10.36,few clouds
200,Aklavik,CA,68.2191,-135.0107,-2.2,84,75,8.05,light snow
201,Surt,LY,31.2089,16.5887,67.91,37,74,10.78,broken clouds
202,Olafsvik,IS,64.8945,-23.7142,29.14,90,20,34.05,few clouds
203,Allen,US,41.0706,-85.0144,19.0,67,20,2.66,few clouds
204,Bethel,US,41.3712,-73.414,26.6,46,75,10.36,broken clouds
205,Kieta,PG,-6.2167,155.6333,78.3,71,81,2.73,broken clouds
206,Nioro,GM,13.35,-15.75,98.4,8,99,9.35,overcast clouds
207,San Patricio,US,28.017,-97.5169,66.2,100,90,10.36,mist
208,Flinders,AU,-34.5833,150.8552,73.4,88,90,4.61,overcast clouds
209,Faya,SA,18.3851,42.4509,66.2,52,20,8.05,few clouds
210,Pionerskiy,RU,54.9508,20.2275,37.4,93,90,11.18,light rain
211,Longyearbyen,SJ,78.2186,15.6401,6.8,78,0,16.11,clear sky
212,Puerto Carreno,CO,6.189,-67.4859,88.65,50,81,11.74,broken clouds
213,Senanga,ZM,-16.1167,23.2667,75.96,82,100,5.39,moderate rain
214,Guerrero Negro,MX,27.9769,-114.0611,57.63,79,76,3.4,broken clouds
215,Bouafle,CI,6.9904,-5.7442,93.2,40,20,4.61,haze
216,Aswan,EG,24.0934,32.907,73.71,21,0,10.36,clear sky
217,Laguna De Perlas,NI,12.3429,-83.6712,75.2,94,75,4.61,light intensity drizzle
218,Acarau,BR,-2.8856,-40.12,88.34,55,43,13.53,scattered clouds
219,Tessalit,ML,20.1986,1.0114,84.13,11,0,9.91,clear sky
220,College,US,64.8569,-147.8028,3.2,85,1,3.44,clear sky
221,Nhulunbuy,AU,-12.2333,136.7667,77.0,100,100,5.75,overcast clouds
222,Sambava,MG,-14.2667,50.1667,80.74,82,28,8.14,light rain
223,Airai,TL,-8.9266,125.4092,63.57,100,92,1.03,overcast clouds
224,Tamiahua,MX,21.2667,-97.45,73.51,86,100,2.24,overcast clouds
225,Alice Springs,AU,-23.7,133.8833,89.6,35,100,10.36,overcast clouds
226,Mitu,CO,1.1983,-70.1733,71.42,99,100,0.94,overcast clouds
227,Biograd Na Moru,HR,43.9433,15.4519,57.99,67,20,11.5,few clouds
228,Puerto Baquerizo Moreno,EC,-0.9,-89.6,80.6,89,40,9.22,scattered clouds
229,Vila Velha,BR,-20.3297,-40.2925,84.0,74,40,4.61,scattered clouds
230,Honiara,SB,-9.4333,159.95,76.32,74,100,1.61,overcast clouds
231,Maneadero,MX,31.7167,-116.5667,53.01,91,85,3.0,overcast clouds
232,Cleveland,US,41.4995,-81.6954,21.0,58,90,9.22,overcast clouds
233,Darhan,MN,49.4867,105.9228,6.76,90,100,3.85,overcast clouds
234,Georgetown,MY,5.4112,100.3354,80.01,89,40,3.85,scattered clouds
